document_number,abstract,agencies,excerpts,html_url,pdf_url,public_inspection_pdf_url,publication_date,title,type
98-23383,"As required by sections 4521, 4522, and 4523 of the Balanced Budget Act of 1997, this proposed rule would eliminate the formula- driven overpayment for certain outpatient hospital services, extend reductions in payment for costs of hospital outpatient services, and establish in regulations a prospective payment system for hospital outpatient services (and for Medicare Part B services furnished to inpatients who have no Part A coverage). The prospective payment system would simplify our current payment system and apply to all hospitals, including those that are excluded from the inpatient prospective payment system. The Balanced Budget Act provides for implementation of the prospective payment system effective January 1, 1999, but delays application of the system to cancer hospitals until January 1, 2000. The hospital outpatient prospective payment system would also apply to partial hospitalization services furnished by community mental health centers. Although the statutory effective date for the outpatient prospective payment system is January 1, 1999, implementation of the new system will have to be delayed because of year 2000 systems concerns. The demands on intermediary bill processing systems and HCFA internal systems to become compliant for the year 2000 preclude making the major systems changes that are required to implement the prospective payment system. The outpatient prospective payment system will be implemented for all hospitals and community mental health centers as soon as possible after January 1, 2000, and a notice of the anticipated implementation date will be published in the Federal Register at least 90 days in advance. This document also proposes new requirements for provider departments and provider-based entities. These proposed changes, as revised based on our consideration of public comments, will be effective 30 days after publication of a final rule. This proposed rule would also implement section 9343(c) of the Omnibus Budget Reconciliation Act of 1986, which prohibits Medicare payment for nonphysician services furnished to a hospital outpatient by a provider or supplier other than a hospital, unless the services are furnished under an arrangement with the hospital. This section also authorizes the Department of Health and Human Services' Office of Inspector General to impose a civil money penalty, not to exceed $10,000, against any individual or entity who knowingly and willfully presents a bill for non-physician or other bundled services not provided directly or under such an arrangement. This proposed rule also addresses the requirements for designating certain entities as provider-based or as a department of a hospital.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Health Care Financing Administration', 'name': 'Health Care Finance Administration', 'id': 559, 'url': 'https://www.federalregister.gov/agencies/health-care-finance-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/559.json', 'parent_id': 221, 'slug': 'health-care-finance-administration'}, {'raw_name': 'Office of Inspector General'}]"," &#8230;  antibody          
86617...  A                   <span class=""match"">Lyme</span> disease antibody..          
86618...  A                   <span class=""match"">Lyme</span> disease antibody..          
86619 &#8230; .          
87475...  A                   <span class=""match"">Lyme</span> dis, dna, dir               
                               probe.
87476...  A                   <span class=""match"">Lyme</span> dis, dna &#8230; ",https://www.federalregister.gov/documents/1998/09/08/98-23383/medicare-program-prospective-payment-system-for-hospital-outpatient-services,https://www.govinfo.gov/content/pkg/FR-1998-09-08/pdf/98-23383.pdf,,1998-09-08,Medicare Program; Prospective Payment System for Hospital Outpatient Services,Proposed Rule
98-20239,"The Food and Drug Administration's (FDA's) Office of Drug Evaluation IV (ODE IV), Center for Drug Evaluation and Research (CDER), is announcing the availability of several draft guidance documents on the development of antimicrobial drug products. A general draft guidance document entitled ``Developing Antimicrobial Drugs--General Considerations for Clinical Trials'' discusses issues common to the development of all antimicrobial drugs. The companion draft guidance documents address issues related to developing drugs to treat individual indications. These draft guidance documents are intended to help sponsors design clinical trials that will yield information the agency can use to determine whether the antimicrobial drug under study is safe and effective in the treatment of the specific infection studied. Key elements of these draft guidance documents will be discussed at a July 29, 30, and 31, 1998, Anti-Infective Drugs Advisory Committee meeting.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]"," &#8230; ,
    <bullet> Bacterial prostatitis,
    <bullet> Early <span class=""match"">Lyme</span> disease,
    <bullet> Empiric therapy of &#8230; ",https://www.federalregister.gov/documents/1998/07/29/98-20239/draft-guidances-for-industry-on-the-development-of-antimicrobial-drug-products-availability,https://www.govinfo.gov/content/pkg/FR-1998-07-29/pdf/98-20239.pdf,,1998-07-29,Draft Guidances for Industry on the Development of Antimicrobial Drug Products; Availability,Notice
98-19319,"The Food and Drug Administration (FDA), Center for Drug Evaluation and Research (CDER), Office of Drug Evaluation IV (ODE IV), is providing notice to drug manufacturers regarding its current plans for revising existing guidance documents and preparing new guidance documents on the development of antimicrobial drug products for the treatment of infections. ODE IV is reviewing, updating, consolidating, and revising its existing guidance documents and identifying topics for future guidance. The agency is requesting public comment on topics for future guidance development.","[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]"," &#8230; ,
    12. Bacterial prostatitis,
    13. Early <span class=""match"">Lyme</span> disease,
    14. Empiric therapy of &#8230; ",https://www.federalregister.gov/documents/1998/07/21/98-19319/development-of-antimicrobial-drug-products-development-and-use-of-fda-guidance-documents-request-for,https://www.govinfo.gov/content/pkg/FR-1998-07-21/pdf/98-19319.pdf,,1998-07-21,Development of Antimicrobial Drug Products; Development and Use of FDA Guidance Documents; Request for Comments,Notice
98-14835,"In this rule we propose to-- <bullet> Update the criteria for determining which surgical procedures can be appropriately and safely performed in an ambulatory surgical center (ASC); <bullet> Make additions to and deletions from the current list of Medicare covered ASC procedures based on the revised criteria; <bullet> Rebase the ASC payment rates using cost, charge, and utilization data collected by a 1994 survey of ASCs; <bullet> Refine the ratesetting methodology that was implemented by a final notice published on February 8, 1990 in the Federal Register; <bullet> Require that ASC payment, coverage, and wage index updates be implemented annually on January 1 rather than having these updates occur randomly throughout the year; <bullet> Reduce regulatory burden; and <bullet> Make several technical policy changes. This proposed rule implements requirements of section 1833(i)(1) and (2) of the Social Security Act.","[{'raw_name': 'Payment Policies, and the List of Covered Surgical Procedures for'}, {'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Health Care Financing Administration', 'name': 'Health Care Finance Administration', 'id': 559, 'url': 'https://www.federalregister.gov/agencies/health-care-finance-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/559.json', 'parent_id': 221, 'slug': 'health-care-finance-administration'}]"," &#8230; 86617          6  <span class=""match"">Lyme</span> disease                   
                       antibody.                                                                                
86618          6  <span class=""match"">Lyme</span> disease                   
                       antibody &#8230; 87475          6  <span class=""match"">Lyme</span> dis, dna, dir             
                       probe.                                                                                   
87476          6  <span class=""match"">Lyme</span> dis, dna &#8230; ",https://www.federalregister.gov/documents/1998/06/12/98-14835/medicare-program-update-of-ratesetting-methodology-payment-rates-payment-policies-and-the-list-of,https://www.govinfo.gov/content/pkg/FR-1998-06-12/pdf/98-14835.pdf,,1998-06-12,"Medicare Program; Update of Ratesetting Methodology, Payment Rates, Payment Policies, and the List of Covered Surgical Procedures for Ambulatory Surgical Centers Effective October 1, 1998",Proposed Rule
98-13847,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230;  of Family Physicians; use of <span class=""match"">lyme</span> disease vaccine; 
progress towards development &#8230; ",https://www.federalregister.gov/documents/1998/05/26/98-13847/advisory-committee-on-immunization-practices-meeting,https://www.govinfo.gov/content/pkg/FR-1998-05-26/pdf/98-13847.pdf,,1998-05-26,Advisory Committee on Immunization Practices: Meeting,Notice
98-11806,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]"," &#8230;  SmithKline for the prevention of <span class=""match"">Lyme</span> disease; (2) 
consider the safety &#8230; ",https://www.federalregister.gov/documents/1998/05/05/98-11806/vaccines-and-related-biological-products-advisory-committee-notice-of-meeting,https://www.govinfo.gov/content/pkg/FR-1998-05-05/pdf/98-11806.pdf,,1998-05-05,Vaccines and Related Biological Products Advisory Committee; Notice of Meeting,Notice
98-6598,"The FHWA is issuing this notice to advise the public that a joint Environmental Impact Statement/Major Investment Study (EIS/MIS) will be prepared for transportation improvements within the Connecticut Route 82/85/11 (RT 82/85/11) corridor in the towns of Salem, Montville, Waterford, and East Lyme Connecticut.","[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Highway Administration', 'name': 'Federal Highway Administration', 'id': 170, 'url': 'https://www.federalregister.gov/agencies/federal-highway-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/170.json', 'parent_id': 492, 'slug': 'federal-highway-administration'}]"," &#8230;  Salem, Montville, 
Waterford, and East <span class=""match"">Lyme</span> Connecticut.

FOR FURTHER INFORMATION CONTACT &#8230; ",https://www.federalregister.gov/documents/1998/03/16/98-6598/environmental-impact-statement-new-london-county-connecticut,https://www.govinfo.gov/content/pkg/FR-1998-03-16/pdf/98-6598.pdf,,1998-03-16,"Environmental Impact Statement: New London County, Connecticut",Notice
98-5297,"The Coast Guard amends the regulations governing the Route 82 Bridge at mile 16.8 which crosses the Connecticut River, between East Haddam and Haddam, Connecticut. The change will provide openings for recreational vessels on the hour and half-hour only, from 15 May through 31 October between 9 a.m. and 9 p.m. Commercial vessels will continue to be granted bridge openings at all times. This change was requested by Connecticut Department of Transportation (CONNDOT) to provide relief from traffic delays caused by frequent unscheduled bridge openings. This action will ease vehicular traffic delays and still meet the reasonable needs of navigation. This rule also requires bridge owners to install clearance gauges at the AMTRAK Old Saybrook-Old Lyme Bridge, the CONRAIL Middletown- Portland Bridge, and the Route 82 Bridge to assist mariners in determining if their vessels can pass under the bridges and thereby reduce the number of unnecessary openings.","[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  the AMTRAK Old Saybrook-Old <span class=""match"">Lyme</span> Bridge, the CONRAIL Middletown-
Portland &#8230;  the AMTRAK Old Saybrook-Old <span class=""match"">Lyme</span> Bridge, mile 3.4 
the &#8230;  the AMTRAK Old Saybrook-Old <span class=""match"">Lyme</span> Bridge, mile 3.4, 
and &#8230; ",https://www.federalregister.gov/documents/1998/03/02/98-5297/drawbridge-operation-regulations-connecticut-river-ct,https://www.govinfo.gov/content/pkg/FR-1998-03-02/pdf/98-5297.pdf,,1998-03-02,"Drawbridge Operation Regulations; Connecticut River, CT",Rule
98-4317,"The Department of the Army is updating the address directory located at the back of the inventory of record systems subject to the Privacy Act of 1974, (5 U.S.C. 552a), as amended.","[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Army', 'name': 'Army Department', 'id': 32, 'url': 'https://www.federalregister.gov/agencies/army-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/32.json', 'parent_id': 103, 'slug': 'army-department'}]"," &#8230; , Research and Engineering 
Laboratory, 72 <span class=""match"">Lyme</span> Road, Hanover, NH 03755-1290 &#8230; ",https://www.federalregister.gov/documents/1998/02/20/98-4317/privacy-act-of-1974-system-of-records,https://www.govinfo.gov/content/pkg/FR-1998-02-20/pdf/98-4317.pdf,,1998-02-20,Privacy Act of 1974; System of Records,Notice
97-28973,"This final rule makes several policy changes affecting Medicare Part B payment. The changes relate to physician services, including geographic practice cost index changes, clinical psychologist services, physician supervision of diagnostic tests, establishment of independent diagnostic testing facilities, the methodology used to develop reasonable compensation equivalent limits, payment to participating and nonparticipating suppliers, global surgical services, caloric vestibular testing, and clinical consultations. This rule also implements provisions in the Balanced Budget Act of 1997 relating to practice expense relative value units, screening mammography, colorectal cancer screening, screening pelvic examinations, and EKG transportation. In addition, we are finalizing the 1997 interim work relative value units and are issuing interim work relative value units for new and revised codes for 1998.","[{'raw_name': 'Policies and Relative Value Unit Adjustments and Clinical Psychologist'}, {'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Health Care Financing Administration', 'name': 'Health Care Finance Administration', 'id': 559, 'url': 'https://www.federalregister.gov/agencies/health-care-finance-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/559.json', 'parent_id': 221, 'slug': 'health-care-finance-administration'}]"," &#8230;        0.00        XXX
86617...    X                   <span class=""match"">Lyme</span> disease antibody...        0.00       0 &#8230;        0.00        XXX
86618...    X                   <span class=""match"">Lyme</span> disease antibody...        0.00       0 &#8230;        0.00        XXX
87475...    X                   <span class=""match"">Lyme</span> dis, dna, dir probe        0 &#8230; ",https://www.federalregister.gov/documents/1997/10/31/97-28973/medicare-program-revisions-to-payment-policies-and-adjustments-to-the-relative-value-units-under-the,https://www.govinfo.gov/content/pkg/FR-1997-10-31/pdf/97-28973.pdf,,1997-10-31,"Medicare Program; Revisions to Payment Policies and Adjustments to the Relative Value Units Under the Physician Fee Schedule, Other Part B Payment Policies, and Establishment of the Clinical Psychologist Fee Schedule for Calendar Year 1998",Rule
97-27864,The inventions listed below are owned by agencies of the U.S. Government and are available for licensing in the U.S. in accordance with 35 U.S.C. 207 to achieve expeditious commercialization of results of federally funded research and development. Foreign patent applications are filed on selected inventions to extend market coverage for U.S. companies and may also be available for licensing.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]"," &#8230;  
antigen for the serodiagnosis of <span class=""match"">Lyme</span> borreliosis. The P39 described in &#8230; , 
but reactive only with human <span class=""match"">Lyme</span> borreliosis sera. This suggests that &#8230;  as having or having had 
<span class=""match"">Lyme</span> borreliosis.

Versatile Reagent for Detecting &#8230; ",https://www.federalregister.gov/documents/1997/10/21/97-27864/government-owned-inventions-availability-for-licensing,https://www.govinfo.gov/content/pkg/FR-1997-10-21/pdf/97-27864.pdf,,1997-10-21,Government-Owned Inventions; Availability for Licensing,Notice
97-24335,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230;  the 
Diagnosis and Pathogenesis of <span class=""match"">Lyme</span> Disease in the United States &#8230;  the Diagnosis and 
Pathogenesis of <span class=""match"">Lyme</span> Disease in the United States &#8230; ",https://www.federalregister.gov/documents/1997/09/15/97-24335/disease-disability-and-injury-prevention-and-control-special-emphasis-panel-sep-cooperative,https://www.govinfo.gov/content/pkg/FR-1997-09-15/pdf/97-24335.pdf,,1997-09-15,"Disease, Disability, and Injury Prevention and Control Special Emphasis Panel (SEP): Cooperative Agreements to Conduct Research on the Diagnosis and Pathogenesis of Lyme Disease in the United States, Program Announcement 800: Meeting",Notice
97-20033,"The Federal Emergency Management Agency (FEMA or Agency) gives notice of the national master list of places of public accommodations that meet the fire prevention and control guidelines under the Hotel and Motel Fire Safety Act. This updated list incorporates all changes made to the national master list since it was first published in 1992, and is current through July 21, 1997.","[{'raw_name': 'FEDERAL EMERGENCY MANAGEMENT AGENCY', 'name': 'Federal Emergency Management Agency', 'id': 166, 'url': 'https://www.federalregister.gov/agencies/federal-emergency-management-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/166.json', 'parent_id': 227, 'slug': 'federal-emergency-management-agency'}]"," &#8230;   OLD <span class=""match"">LYME</span>, CT 06371-      (860)434-1667
CT0134  OLD <span class=""match"">LYME</span> INN  85 <span class=""match"">LYME</span> &#8230;  ST  OLD <span class=""match"">LYME</span>, CT 06371-      (860 &#8230; )434-2600
CT0133  OLD <span class=""match"">LYME</span> &#8230;   <span class=""match"">LYME</span>, NH 03768-      (603)795-4712
NH0112  <span class=""match"">LYME</span> INN ON THE COMMON    <span class=""match"">LYME</span> &#8230; ",https://www.federalregister.gov/documents/1997/08/01/97-20033/hotel-and-motel-fire-safety-act-national-master-list-1997,https://www.govinfo.gov/content/pkg/FR-1997-08-01/pdf/97-20033.pdf,,1997-08-01,"Hotel and Motel Fire Safety Act National Master List, 1997",Notice
97-19318,"The NOAA Office of Ocean and Coastal Resource Management (OCRM) announces its intent to evaluate the performance of Michigan, Connecticut, South Carolina, and Maryland Coastal Zone Management Programs. These evaluations will be conducted pursuant to section 312 of the Coastal Zone Management Act of 1972 (CZMA), as amended. The CZMA requires a continuing review of the performance of states with respect to coastal program implementation. Evaluation of Coastal Zone Management Programs require findings concerning the extent to which a state has met the national objectives, adhered to its coastal program document approved by the Secretary of Commerce, and adhered to the terms of financial assistance awards funded under the CZMA. The evaluations will include a site visit, consideration of public comments, and consultations with interested Federal, State, and local agencies and members of the public. Public meetings are held as part of the site visits. Notice is hereby given of the dates of the site visits for the listed evaluations, and the dates, local times, and locations of public meetings during the site visits The Michigan Coastal Zone Management Program site visit will be from September 8-12, 1997. One public meeting will be held during the week. This meeting is scheduled for 7:00 P.M., Tuesday, September 9, 1997, at the Radisson Hotel, 111 North Grand River Avenue, Lansing, Michigan. The Connecticut Coastal Zone Management Program site visit will be from September 15-19, 1997. A public meeting will be held during the week. This meeting is scheduled for 7:30 P.M., on Wednesday, September 17, 1997, at the DEP Marine District Headquarters, 333 Ferry Road, Old Lyme, Connecticut. The South Carolina Coastal Zone Management Program site visit will be from September 8-12, 1997. Three public meetings will be held during the week. The public meetings will be held on: Tuesday, September 9, 1997, from 7:00-9:00 p.m., at the South Carolina Department of Natural Resources Marine Resources Research Institute Auditorium, 217 Ft. Johnson Road, Charleston, South Carolina; Wednesday, September 10, 1997, from 7:00-9:00 p.m., at the Santee Cooper Authority Building, 18th Avenue North and Oak Street, Myrtle Beach, South Carolina; and on Thursday, September 11, 1997, from 7:00-9:00 p.m., at the Beaufort Technical Education College, Building 12, Room 107, 921 Ribaut Road, Beaufort, South Carolina. The Maryland Coastal Zone Management Program site visit will be from September 22-26, 1997. A public meeting will be held during the week. This meeting is scheduled for 7:00 P.M., on Monday, September 22, 1997, at the Maryland Coastal Bays Office, 9609 Decatur Highway, Berlin, Maryland. The States will issue notice of the public meeting(s) in a local newspaper(s) at least 45 days prior to the public meeting(s), and will issue other timely notices as appropriate. Copies of the State's most recent performance reports, as well as OCRM's notifications and supplemental request letters to the States, are available upon request from OCRM. Written comments from interested parties regarding these Programs are encouraged and will be accepted until 15 days after the public meeting. Please direct written comments to Vickie A. Allin, Chief, Policy Coordination Division (PCD), Office of Ocean and Coastal Resource Management, NOS/NOAA, 1305 East-West Highway, Silver Spring, Maryland 20910. When the evaluation is completed, OCRM will place a notice in the Federal Register announcing the availability of the Final Evaluation Findings.","[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]"," &#8230;  Headquarters, 333 Ferry Road, Old 
<span class=""match"">Lyme</span>, Connecticut.
    The South Carolina Coastal &#8230; ",https://www.federalregister.gov/documents/1997/07/23/97-19318/evaluation-of-coastal-zone-management-program-and-national-estuarine-research-reserves,https://www.govinfo.gov/content/pkg/FR-1997-07-23/pdf/97-19318.pdf,,1997-07-23,Evaluation of Coastal Zone Management Program and National Estuarine Research Reserves,Notice
97-19209,"The U.S. Fish and Wildlife Service (Service) designates critical habitat for the southwestern willow flycatcher (Empidonax traillii extimus), a species federally listed as endangered under the authority of the Endangered Species Act of 1973, as amended (Act). The Fish and Wildlife Service has identified 18 critical habitat units totaling 964 river kilometers (km) (599 river miles) in Arizona, California, and New Mexico. As required by section 4 of the Act, the Service considered economic and other relevant impacts prior to making a final decision on the size and configuration of critical habitat.","[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]"," &#8230;  line running north-south between <span class=""match"">Lyme</span> Dyke and Lime Point 
encompassing &#8230; ",https://www.federalregister.gov/documents/1997/07/22/97-19209/endangered-and-threatened-wildlife-and-plants-final-determination-of-critical-habitat-for-the,https://www.govinfo.gov/content/pkg/FR-1997-07-22/pdf/97-19209.pdf,,1997-07-22,Endangered and Threatened Wildlife and Plants; Final Determination of Critical Habitat for the Southwestern Willow Flycatcher,Rule
97-18973,"EPA is proposing to establish an exemption from the requirement of a tolerance for residues of the biochemical pesticide corn gluten, also known as corn gluten meal, when used as a herbicide in or on various food commodities. The exemption from the requirement of a tolerance is being proposed by the Agency on its own initiative. DATES: Comments, identified by the docket control number [OPP-300505], must be received on or before September 16, 1997. ADDRESSES: By mail, submit written comments to: Information and Records Integrity Branch, Public Information and Services Divison (7506C), Office of Pesticides Programs, Environmental Protection Agency, 401 M St., SW., Washington, DC 20460. In person bring comments to: Rm. 1132, CM #2, 1921 Jefferson Davis Highway, Arlington, VA. Comments and data may also be submitted electronically by following the instructions under ``SUPPLEMENTARY INFORMATION.'' No confidential business information should be submitted through e-mail. Information submitted as a comment concerning this document may be claimed confidential by marking any part or all of that information as ``Confidential Business Information'' (CBI). CBI should not be submitted through e-mail. Information marked as CBI will not be disclosed except in accordance with procedures set forth in 40 CFR part 2. A copy of the comment that does not contain CBI must be submitted for inclusion in the public record. Information not marked confidential may be disclosed publicly by EPA without prior notice. All written comments will be available for public inspection in Rm. 1132 at the address given above, from 8:30 a.m. to 4 p.m., Monday through Friday, excluding legal holidays.","[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145.json', 'parent_id': None, 'slug': 'environmental-protection-agency'}]"," &#8230;  limited to ticks that carry <span class=""match"">Lyme</span> 
disease.
    (iii) The product must &#8230; ",https://www.federalregister.gov/documents/1997/07/18/97-18973/corn-gluten-proposed-exemption-from-the-requirement-of-a-pesticide-tolerance,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18973.pdf,,1997-07-18,Corn Gluten; Proposed Exemption From the Requirement of a Pesticide Tolerance,Proposed Rule
97-15821,"Defense Acquisition Circular 91-12 amends the Defense Federal Acquisition Regulation Supplement (DFARS) to revise, finalize, or add language on contract reporting, required sources of supplies and services, contractor qualifications, economic price adjustment, small business programs, labor laws, foreign acquisition, patent interchange agreements, insurance, taxes, overseas contracts, contract financing, contract disputes, construction contracts, acquisition of information resources, contract administration, government property, and quality assurance.","[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}]"," &#8230; , Attn: CECRL-LM-CT, 72 <span class=""match"">Lyme</span> Road, Hanover, NH 03755-1290 &#8230; ",https://www.federalregister.gov/documents/1997/06/24/97-15821/defense-federal-acquisition-regulation-supplement-miscellaneous-amendments,https://www.govinfo.gov/content/pkg/FR-1997-06-24/pdf/97-15821.pdf,,1997-06-24,Defense Federal Acquisition Regulation Supplement; Miscellaneous Amendments,Rule
