document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type
2014-06754,"In this document, the Commission adopts non-quantitative quality standards for the closed captioning of pre-recorded, live, and near-live programming to ensure that caption viewers have full access to television programming; establishes best practices for the provision of good quality captions; imposes new requirements on broadcasters using Electronic Newsroom Technique (ENT) based on a best practices proposal offered by the National Association of Broadcasters (NAB); and takes various other actions to clarify and improve the Commission's closed captioning rules.",Final rule.,"[{'raw_name': 'FEDERAL COMMUNICATIONS COMMISSION', 'name': 'Federal Communications Commission', 'id': 161, 'url': 'https://www.federalregister.gov/agencies/federal-communications-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/161.json', 'parent_id': None, 'slug': 'federal-communications-commission'}]",['Federal Communications Commission'],2014-04-30,2014-03-31,,,Closed Captioning of Video Programming; Telecommunications for the Deaf and Hard of Hearing; Petition for Rulemaking,"['Individuals with disabilities', 'Reporting and recordkeeping requirements', 'Telecommunications']",Rule
2014-05082,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including commercial refrigeration equipment (CRE). EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for some classes of commercial refrigeration equipment. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.",Final rule.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],2014-05-27,2014-03-28,True,,Energy Conservation Program: Energy Conservation Standards for Commercial Refrigeration Equipment,"['Administrative practice and procedure', 'Confidential business information', 'Energy conservation', 'Reporting and recordkeeping requirements']",Rule
2014-05566,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including automatic commercial ice makers (ACIM). EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this notice, DOE proposes amended energy conservation standards for automatic commercial ice makers. The notice of proposed rulemaking also announces a public meeting to receive comment on these proposed standards and associated analyses and results.",Notice of proposed rulemaking and public meeting.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2014-03-17,True,,Energy Conservation Program: Energy Conservation Standards for Automatic Commercial Ice Makers,"['Administrative practice and procedure', 'Confidential business information', 'Energy conservation', 'Imports', 'Intergovernmental relations', 'Reporting and recordkeeping requirements', 'Small businesses']",Proposed Rule
2014-04675,"The Department of Homeland Security (DHS) is issuing regulations setting standards to prevent, detect, and respond to sexual abuse and assault in DHS confinement facilities.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}]",['Homeland Security Department'],2014-05-06,2014-03-07,True,,"Standards To Prevent, Detect, and Respond to Sexual Abuse and Assault in Confinement Facilities","['Administrative practice and procedure', 'Aliens', 'Immigration', 'Reporting and recordkeeping requirements']",Rule
2014-04407,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including commercial clothes washers. EPCA also requires the U.S. Department of Energy (DOE) to determine whether amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this notice, DOE proposes to amend the energy conservation standards for commercial clothes washers. The notice also announces a public meeting to receive comment on these proposed standards and associated analyses and results.",Notice of proposed rulemaking (NOPR) and public meeting.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2014-03-04,False,,Energy Conservation Program: Energy Conservation Standards for Commercial Clothes Washers,"['Administrative practice and procedure', 'Energy conservation', 'Household appliances', 'Small businesses']",Proposed Rule
2014-01702,"The NCUA Board (Board) is proposing to amend NCUA's regulations regarding prompt corrective action (PCA) to restructure the part, and make various revisions, including replacing the agency's current risk-based net worth requirements with new risk-based capital requirements for federally insured ``natural person'' credit unions. The proposed risk-based capital requirements would be more consistent with NCUA's risk-based capital measure for corporate credit unions and the regulatory risk-based capital measures used by the Federal Deposit Insurance Corporation, Board of Governors of the Federal Reserve, and Office of the Comptroller of Currency (Other Federal Banking Regulatory Agencies). In addition, the proposed revisions would revise the risk- weights for many of NCUA's current asset classifications; require higher minimum levels of capital for federally insured natural person credit unions with concentrations of assets in real estate loans, member business loans (MBLs) or higher levels of delinquent loans; and set forth the process for NCUA to require an individual federally insured natural person credit union to hold higher levels of risk-based capital to address unique supervisory concerns raised by NCUA. The proposed revisions would also eliminate several of NCUA's provisions, including provisions relating to regular reserve accounts, risk- mitigation credits, and alternative risk-weights.",Proposed rule.,"[{'raw_name': 'NATIONAL CREDIT UNION ADMINISTRATION', 'name': 'National Credit Union Administration', 'id': 335, 'url': 'https://www.federalregister.gov/agencies/national-credit-union-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/335.json', 'parent_id': None, 'slug': 'national-credit-union-administration'}]",['National Credit Union Administration'],,2014-02-27,False,,Prompt Corrective Action-Risk-Based Capital,"['Administrative practice and procedure', 'Advertising', 'Aged', 'Bank deposit insurance', 'Bonds', 'Civil rights', 'Claims', 'Credit', 'Credit unions', 'Crime', 'Equal access to justice', 'Fair housing', 'Individuals with disabilities', 'Insurance', 'Investigations', 'Investments', 'Lawyers', 'Loan programs-business', 'Marital status discrimination', 'Mortgages', 'Penalties', 'Religious discrimination', 'Reporting and recordkeeping requirements', 'Sex discrimination', 'Signs and symbols', 'Surety bonds']",Proposed Rule
2014-04100,"This proposed rule would require all local educational agencies participating in the National School Lunch Program and/or the School Breakfast Program to meet expanded local school wellness policy requirements consistent with the new requirements set forth in section 204 of the Healthy, Hunger-Free Kids Act of 2010. This proposed rule would establish the framework for the content of the local school wellness policies, ensure stakeholder participation in the development of such policies, and require periodic assessment of compliance and reporting on the progress toward achieving the goals of the local school wellness policy. This proposed rule would also require local educational agencies, as part of the local school wellness policy, to implement policies for the marketing of foods and beverages on the school campus during the school day consistent with nutrition standards for Smart Snacks. Additionally, this proposed rule would require each local educational agency to make information about local school wellness policy implementation for all participating schools available to the public on a periodic basis. The provisions of this proposed rulemaking would ensure local educational agencies establish and implement local school wellness policies that meet minimum standards designed to support a school environment that promotes sound nutrition and student health, reduces childhood obesity, and provides transparency to the public on school wellness policy content and implementation.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200.json', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","['Agriculture Department', 'Food and Nutrition Service']",,2014-02-26,True,,"Local School Wellness Policy Implementation Under the Healthy, Hunger-Free Kids Act of 2010",[],Proposed Rule
2014-03959,"This notice of proposed rulemaking introduces the beginning of the Office of National Coordinator for Health Information Technology's (ONC's) more frequent approach to health information technology certification regulations. Under this approach ONC intends to update certification criteria editions every 12 to 18 months in order to provide smaller, more incremental regulatory changes and policy proposals. This approach gives stakeholders greater and earlier visibility into our regulatory direction before compliance is required, provides more time for public input on policy proposals under consideration for future rulemakings, and enables our certification processes to more quickly adopt newer industry standards that can enhance interoperability. The 2015 Edition EHR certification criteria proposed in this rule would be voluntary. No EHR technology developer who has certified its EHR technology to the 2014 Edition would need to recertify to the 2015 Edition in order for its customers to participate in the Medicare and Medicaid EHR Incentive Programs (EHR Incentive Programs). Furthermore, eligible professionals, eligible hospitals, and critical access hospitals that participate in the EHR Incentive Programs would not need to ``upgrade'' to EHR technology certified to 2015 Edition in order to have EHR technology that meets the Certified EHR Technology (CEHRT) definition. Instead, the 2015 Edition EHR certification criteria would accomplish three policy objectives: 1) They would enable a more efficient and effective response to stakeholder feedback; 2) they would incorporate ``bug fixes'' to improve on 2014 Edition EHR certification criteria in ways designed to make our rules clearer and easier to implement; and 3) they reference newer standards and implementation specifications that reflect our commitment to promoting innovation and enhancing interoperability. Specific revisions to the ONC HIT Certification Program are also included in this proposed rule. These proposals focus on: Improving regulatory clarity; simplifying the certification of EHR Modules that are designed for purposes other than achieving meaningful use; and discontinuing the use of the Complete EHR definition starting with the 2015 Edition.",Notice of proposed rulemaking with comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2014-02-26,True,,Voluntary 2015 Edition Electronic Health Record (EHR) Certification Criteria; Interoperability Updates and Regulatory Improvements,"['Computer technology', 'Health', 'Health care', 'Health insurance', 'Health records', 'Hospitals', 'Laboratories', 'Medicaid', 'Medicare', 'Privacy', 'Public health', 'Reporting and recordkeeping requirements']",Proposed Rule
2014-03139,,Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2014-02-13,,,Gastroenterology and Urology Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting,[],Notice
2014-03064,"Through this notice, NHTSA is announcing a public meeting to bring together vehicle manufacturers and suppliers, portable and aftermarket device manufacturers, portable and aftermarket device operating system providers, cellular service providers, industry associations, ``app'' developers, researchers, and consumer groups to discuss technical issues regarding the agency's development of Phase 2 Driver Distraction Guidelines for portable and aftermarket devices.",Announcement of public meeting.,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'National Highway Traffic Safety Administration', 'name': 'National Highway Traffic Safety Administration', 'id': 345, 'url': 'https://www.federalregister.gov/agencies/national-highway-traffic-safety-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/345.json', 'parent_id': 492, 'slug': 'national-highway-traffic-safety-administration'}]","['Transportation Department', 'National Highway Traffic Safety Administration']",,2014-02-12,,,Visual-Manual NHTSA Driver Distraction Guidelines for Portable and Aftermarket Electronic Devices,[],Notice
2014-02148,"The Food and Drug Administration (FDA, the Agency, or we) is revising our infant formula regulations to establish requirements for current good manufacturing practices (CGMP), including audits; to establish requirements for quality factors; and to amend FDA's quality control procedures, notification, and record and reporting requirements for infant formula. FDA is taking this action to improve the protection of infants who consume infant formula products.",Interim final rule; request for comments.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2014-02-10,True,,"Current Good Manufacturing Practices, Quality Control Procedures, Quality Factors, Notification Requirements, and Records and Reports, for Infant Formula","['Food grades and standards', 'Food labeling', 'Nutrition', 'Reporting and recordkeeping requirements', 'Reporting and recordkeeping requirements', 'Signs and symbols']",Rule
2014-02280,"This final rule amends the Clinical Laboratory Improvement Amendments of 1988 (CLIA) regulations to specify that, upon the request of a patient (or the patient's personal representative), laboratories subject to CLIA may provide the patient, the patient's personal representative, or a person designated by the patient, as applicable, with copies of completed test reports that, using the laboratory's authentication process, can be identified as belonging to that patient. Subject to conforming amendments, the final rule retains the existing provisions that require release of test reports only to authorized persons and, if applicable, to the persons responsible for using the test reports and to the laboratory that initially requested the test. In addition, this final rule amends the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy Rule to provide individuals (or their personal representatives) with the right to access test reports directly from laboratories subject to HIPAA (and to direct that copies of those test reports be transmitted to persons or entities designated by the individual) by removing the exceptions for CLIA-certified laboratories and CLIA-exempt laboratories from the provision that provides individuals with the right of access to their protected health information. These changes to the CLIA regulations and the HIPAA Privacy Rule provide individuals with a greater ability to access their health information, empowering them to take a more active role in managing their health and health care.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of the Secretary']",,2014-02-06,True,,CLIA Program and HIPAA Privacy Rule; Patients' Access to Test Reports,"['Administrative practice and procedure', 'Computer technology', 'Employee benefit plans', 'Grant programs-health', 'Health', 'Health care', 'Health facilities', 'Health insurance', 'Health records', 'Hospitals', 'Laboratories', 'Medicaid', 'Medical research', 'Medicare', 'Penalties', 'Privacy', 'Reporting and recordkeeping requirements']",Rule
2013-30024,"On March 25, 2011, the Board published a notice of proposed rulemaking (``2011 proposal'') intended to facilitate the banking industry's ongoing transition to fully electronic interbank check collection and return. Based on its analysis of the comments received in response to the 2011 proposal, the Board is revising its proposed amendments to subparts C and D of Regulation CC and is requesting comment on a revised proposed rule that would, among other things, encourage depositary banks to receive and paying banks to send returned checks electronically. The Board is requesting comment on two alternative frameworks for return requirements. Under Alternative 1, the expeditious-return requirement currently imposed on paying banks and returning banks for returned checks would be eliminated; a paying bank returning a check would be required to provide the depositary bank with a notice of nonpayment of the check--regardless of the amount of the check being returned--only if the paying bank sends the returned check in paper form. Under Alternative 2, the current expeditious- return requirement--using the current two-day test--would be retained for checks being returned to a depositary bank electronically via another bank, but the notice-of-nonpayment requirement would be eliminated. The Board is proposing to retain, without change, the regulation's current same-day settlement rule for paper checks. In addition, the Board is also requesting comment on applying Regulation CC's existing check warranties to checks that are collected electronically and on new warranties and indemnities related to checks collected electronically and to electronically-created items.","Proposed rule, request for comment.","[{'raw_name': 'FEDERAL RESERVE SYSTEM', 'name': 'Federal Reserve System', 'id': 188, 'url': 'https://www.federalregister.gov/agencies/federal-reserve-system', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/188.json', 'parent_id': None, 'slug': 'federal-reserve-system'}]",['Federal Reserve System'],,2014-02-04,False,,Availability of Funds and Collection of Checks,"['Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Federal Reserve System', 'Reporting and recordkeeping requirements']",Proposed Rule
2014-01613,"This proposed rule would clarify existing standards and procedures by which the Bureau of Industry and Security (BIS) may require that certain contracts or orders that promote the national defense be given priority over other contracts or orders. It also proposes new standards and procedures for such prioritization with respect to contracts or orders for emergency preparedness activities. Finally, this rule proposes new standards and procedures by which BIS may allocate materials, services and facilities to promote the national defense. This rule implements provisions in the Defense Production Act Reauthorization of 2009 (123 Stat. 2006) (111 Pub. L. 67) (September 30, 2009) regarding publication of regulations providing standards and procedures for prioritization of contracts and orders and for allocation of materials, services, and facilities to promote the national defense under emergency and non-emergency conditions.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Bureau of Industry and Security', 'name': 'Industry and Security Bureau', 'id': 241, 'url': 'https://www.federalregister.gov/agencies/industry-and-security-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/241.json', 'parent_id': 54, 'slug': 'industry-and-security-bureau'}]","['Commerce Department', 'Industry and Security Bureau']",,2014-01-31,True,,Revisions to Defense Priorities and Allocations System Regulations,"['Administrative practice and procedure', 'Business and industry', 'Government contracts', 'National defense', 'Reporting and recordkeeping requirements', 'Strategic and critical materials']",Proposed Rule
2014-01163,"The Department of Commerce (the Department) has received information sufficient to warrant initiation of a changed circumstances review of the antidumping duty order on certain lined paper products (CLPP) from India. Specifically, based upon a request filed by Navneet Education Limited (Navneet Education), a producer/exporter to the United States of subject merchandise, the Department is initiating a changed circumstances review to determine whether Navneet Education is the successor-in-interest of Navneet Publications (India) Ltd. (Navneet Publications), a mandatory respondent in several prior administrative reviews of the CLPP Order.\1\ ---------------------------------------------------------------------------",,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'International Trade Administration', 'name': 'International Trade Administration', 'id': 261, 'url': 'https://www.federalregister.gov/agencies/international-trade-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/261.json', 'parent_id': 54, 'slug': 'international-trade-administration'}]","['Commerce Department', 'International Trade Administration']",2014-01-22,2014-01-22,,,Certain Lined Paper Products From India: Initiation of Changed Circumstances Review,[],Notice
2014-00709,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2014-01-16,,,"United States v. Heraeus Electro-Nite Co., LLC; Proposed Final Judgment and Competitive Impact Statement",[],Notice
2014-00404,"The Office of Science and Technology Policy requests public comments to inform its policy development related to high-impact learning technologies. This Request for Information offers the opportunity for interested individuals and organizations to identify public and private actions that have the potential to accelerate the development, rigorous evaluation, and widespread adoption of high- impact learning technologies. The focus of this RFI is on the design and implementation of ``pull mechanisms'' for technologies that significantly improve a given learning outcome. Comments must be received by 11:59 p.m. on March 7, 2014, to be considered. In your comments, please reference the question to which you are responding.",,"[{'raw_name': 'OFFICE OF SCIENCE AND TECHNOLOGY POLICY', 'name': 'Science and Technology Policy Office', 'id': 464, 'url': 'https://www.federalregister.gov/agencies/science-and-technology-policy-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/464.json', 'parent_id': None, 'slug': 'science-and-technology-policy-office'}]",['Science and Technology Policy Office'],,2014-01-13,,,Notice of Request for Information (RFI),[],Notice
2013-29863,"The Coast Guard proposes to amend its regulations for certain design and approval standards for fire protection, detection, and extinguishing equipment on inspected and uninspected vessels, outer continental shelf facilities, deepwater ports, and mobile offshore drilling units. The proposed amendments would harmonize Coast Guard regulations with appropriate national and international consensus standards; address advances in fire protection technologies and standards; update Coast Guard approval processes for fire detection and alarm systems; and revise Coast Guard regulations for other types of equipment or components, such as spanner wrenches, non-metallic pipes, and sprinkler systems. These proposed changes are necessary to ensure Coast Guard regulations remain current and address advances in technology.",Notice of proposed rulemaking.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]","['Homeland Security Department', 'Coast Guard']",,2014-01-13,False,,"Harmonization of Standards for Fire Protection, Detection, and Extinguishing Equipment","['Administrative practice and procedure', 'Alaska', 'Business and industry', 'Cargo vessels', 'Communications equipment', 'Continental shelf', 'Environmental protection', 'Fire prevention', 'Fishing vessels', 'Foreign relations', 'Harbors', 'Hazardous materials transportation', 'Investigations', 'Labeling', 'Laboratories', 'Marine safety', 'Navigation (water)', 'Occupational safety and health', 'Oceanographic research vessels', 'Oil and gas exploration', 'Oil pollution', 'Packaging and containers', 'Passenger vessels', 'Penalties', 'Petroleum', 'Reporting and recordkeeping requirements', 'Schools', 'Seamen', 'Vessels']",Proposed Rule
2013-29627,"The Regulatory Flexibility Act requires that agencies publish semiannual regulatory agendas in the Federal Register describing regulatory actions they are developing that may have a significant economic impact on a substantial number of small entities (5 U.S.C. 602). Executive Order 12866 ``Regulatory Planning and Review,'' signed September 30, 1993 (58 FR 51735), and incorporated in Executive Order 13563, ``Improving Regulation and Regulatory Review'' issued on January 18, 2011 (76 FR 3821) establish guidelines and procedures for agencies' agendas, including specific types of information for each entry. The Unified Agenda of Federal Regulatory and Deregulatory Actions (Unified Agenda) helps agencies fulfill these requirements. All Federal regulatory agencies have chosen to publish their regulatory agendas as part of the Unified Agenda. The complete 2013 Unified Agenda and Regulatory Plan, which contains the regulatory agendas for 60 Federal agencies, is available to the public at http://reginfo.gov. The 2013 Unified Agenda publication appearing in the Federal Register consists of agency regulatory flexibility agendas, in accordance with the publication requirements of the Regulatory Flexibility Act. Agency regulatory flexibility agendas contain only those Agenda entries for rules that are likely to have a significant economic impact on a substantial number of small entities and entries that have been selected for periodic review under section 610 of the Regulatory Flexibility Act.",Introduction to the Unified Agenda of Federal Regulatory and Deregulatory Actions.,"[{'raw_name': 'REGULATORY INFORMATION SERVICE CENTER', 'name': 'Regulatory Information Service Center', 'id': 449, 'url': 'https://www.federalregister.gov/agencies/regulatory-information-service-center', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/449.json', 'parent_id': None, 'slug': 'regulatory-information-service-center'}, {'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}]","['Regulatory Information Service Center', 'Agriculture Department']",,2014-01-07,,,Introduction to the Unified Agenda of Federal Regulatory and Deregulatory Actions,[],Proposed Rule
2013-30724,"This proposed rule would establish national emergency preparedness requirements for Medicare- and Medicaid-participating providers and suppliers to ensure that they adequately plan for both natural and man-made disasters, and coordinate with federal, state, tribal, regional, and local emergency preparedness systems. It would also ensure that these providers and suppliers are adequately prepared to meet the needs of patients, residents, clients, and participants during disasters and emergency situations. We are proposing emergency preparedness requirements that 17 provider and supplier types must meet to participate in the Medicare and Medicaid programs. Since existing Medicare and Medicaid requirements vary across the types of providers and suppliers, we are also proposing variations in these requirements. These variations are based on existing statutory and regulatory policies and differing needs of each provider or supplier type and the individuals to whom they provide health care services. Despite these variations, our proposed regulations would provide generally consistent emergency preparedness requirements, enhance patient safety during emergencies for persons served by Medicare- and Medicaid-participating facilities, and establish a more coordinated and defined response to natural and man- made disasters.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2013-12-27,True,,Medicare and Medicaid Programs; Emergency Preparedness Requirements for Medicare and Medicaid Participating Providers and Suppliers,"['Aged', 'Family planning', 'Grant programs-health', 'Health care', 'Health facilities', 'Health insurance', 'Health professions', 'Health records', 'Hospice care', 'Hospitals', 'Intergovernmental relations', 'Kidney diseases', 'Medicaid', 'Medicare', 'Nursing homes', 'Nutrition', 'Penalties', 'Reporting and recordkeeping requirements', 'Rural areas', 'Safety', 'X-rays']",Proposed Rule
2013-30924,"In this final rule, the Office of Inspector General (OIG) amends the safe harbor regulation concerning electronic health records items and services, which defines certain conduct that is protected from liability under the Federal anti-kickback statute, section 1128B(b) of the Social Security Act (the Act). Amendments include updating the provision under which electronic health records software is deemed interoperable; removing the electronic prescribing capability requirement; extending the sunset provision until December 31, 2021; limiting the scope of protected donors to exclude laboratory companies; and clarifying the condition that prohibits a donor from taking any action to limit or restrict the use, compatibility, or interoperability of the donated items or services.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of Inspector General'}]","['Health and Human Services Department', 'Office of Inspector General']",,2013-12-27,False,,Medicare and State Health Care Programs: Fraud and Abuse; Electronic Health Records Safe Harbor Under the Anti-Kickback Statute,"['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Health facilities', 'Health professions', 'Maternal and child health', 'Medicaid', 'Medicare', 'Social security']",Rule
